Episode,Character,Type of appearance
75,Froppy,Direct
75,Uravity,Direct
75,Nejire Chan,Flashback
75,Ryukyu,Direct
75,Rikiya Katsukame,Direct
75,Mr. Brave,Flashback
75,Suneater,Flashback
75,Fat Gum,Flashback
75,Yu Hojo,Flashback
75,Soramitsu Tabe,Flashback
75,Toya Setsuno,Flashback
75,Kendo Rappa,Flashback
75,Deidoro Sakaki,Direct
75,Overhaul,Direct
75,Chronostasis,Direct
75,Shin Nemoto,Direct
75,Eri,Direct
75,Present Mic,Voice commentary
75,All Might,Flashback
75,Gran Torino,Flashback
75,Recovery Girl,Flashback
75,Nezu,Flashback
76,Rikiya Katsukame,Direct
76,Uravity,Direct
76,Ryukyu,Direct
76,Froppy,Direct
76,Nejire Chan,Direct
76,Mimic,Mentioned
76,Present Mic,Voice commentary
76,Himiko Toga,Direct
76,Deku,Direct
76,Twice,Direct
76,Mr. Compress,Double
76,Sir Nighteye,Direct
76,Eri,Direct
76,Overhaul,Direct
76,Lemillion,Flashback
76,Shin Nemoto,Direct
76,All Might,Flashback
76,Katsuki Bakugo,Flashback
76,Suneater,Flashback
76,Red Riot,Flashback
76,Chronostasis,Flashback
76,Victor,Fantasy
76,Endeavor,Fantasy
76,Best Jeanist,Fantasy
76,Death Arms,Fantasy
76,Edgeshot,Fantasy
76,Backdraft,Fantasy
76,Fourth Kind,Fantasy
76,Kamui Woods,Fantasy
76,Mt. Lady,Fantasy
76,Gang Orca,Fantasy
76,Gran Torino,Fantasy
76,Cementoss,Fantasy
76,Nezu,Fantasy
76,Thirteen,Fantasy
76,Ectoplasm,Fantasy
76,Tiger,Fantasy
76,Mandalay,Fantasy
76,Pixie-Bob,Fantasy
77,Overhaul,Direct
77,Deku,Direct
77,Eri,Direct
77,Chronostasis,Direct
77,Eraser Head,Direct
77,Suneater,Direct
77,Lemillion,Direct
77,Froppy,Direct
77,Rikiya Katsukame,Direct
77,Uravity,Direct
77,Ryukyu,Direct
77,Sir Nighteye,Direct
77,Bubble Girl,Direct
77,Himiko Toga,Direct
77,Twice,Direct
77,Centipeder,Direct
77,Kendo Rappa,Direct
77,Fat Gum,Direct
77,Red Riot,Direct
77,Hekiji Tengai,Direct
77,Yu Hojo,Direct
77,Toya Setsuno,Direct
77,Soramitsu Tabe,Direct
77,Shin Nemoto,Direct
77,Deidoro Sakaki,Direct
77,Old Boss of the Shie Hassaikai,Direct
77,Nejire-Chan,Direct
77,Rock Lock,Direct
77,Tomura Shigaraki,Direct
77,Dabi,Direct
77,Mr. Compress,Direct
77,Spinner,Direct
77,Stain,Mentioned
77,Snatch,Direct
77,All Might,Direct
77,Recovery Girl,Direct
78,Gran Torino,Direct
78,Naomasa Tsukauchi,Direct
78,Kurogiri,Direct
78,Momo Yaoyorozu,Direct
78,Denki Kaminari,Direct
78,Kyoka Jiro,Direct
78,Katsuki Bakugo,Direct
78,Eijiro Kirishima,Direct
78,Minoru Mineta,Direct
78,Izuku Midoriya,Direct
78,Hanta Sero,Direct
78,Yuga Aoyama,Direct
78,Thirteen,Flashback
78,Tsuyu Asui,Direct
78,Mina Ashido,Direct
78,Fumikage Tokoyami,Flashback
78,Tenya Ida,Direct
78,Koji Koda,Direct
78,Ochaco Uraraka,Direct
78,Mezo Shoji,Direct
78,Shoto Todoroki,Direct
78,Rikido Sato,Direct
78,Toru Hagakure,Direct
78,Mashirao Ojiro,Direct
78,All For One,Flashback
78,Tomura Shigaraki,Mentioned
78,Gigantomachia,Direct
78,Eraser Head,Direct
78,Recovery Girl,Direct
78,Snatch,Screen
78,Tamaki Amajiki,Direct
78,Nejire Hado,Direct
78,Eri,Direct
78,Mirio Togata,Direct
78,Sir Nighteye,Flashback
78,All Might,Direct
78,Ryukyu,Mentioned
78,Bubble Girl,Flashback
78,Overhaul,Flashback
78,Centipeder,Flashback
78,Fat Gum,Flashback
78,Rock Lock,Flashback
78,Yu Hojo,Flashback
78,Kendo Rappa,Flashback
78,Deidoro Sakaki,Flashback
78,Shin Nemoto,Flashback
78,Present Mic,Direct
78,Endeavor,Direct
78,Inasa Yoarashi,Direct
78,Camie Utsushimi,Direct
78,Seiji Shishikura,Direct
78,Gang Orca,Direct
78,Yokumiru Mera,Direct
79,Inasa Yoarashi,Direct
79,Shoto Todoroki,Direct
79,Katsuki Bakugo,Direct
79,Yokumiru Mera,Direct
79,Present Mic,Direct
79,Endeavor,Direct
79,All Might,Direct
79,Camie Utsushimi,Direct
79,Seiji Shishikura,Direct
79,Himiko Toga,Flashback
79,Izuku Midoriya,Flashback
79,Gang Orca,Direct
79,Eijiro Kirishima,Flashback
79,Denki Kaminari,Flashback
79,Takuto,Direct
79,Tamashiro,Direct
79,Sho,Direct
79,Komari Ikoma,Direct
79,Gang Orca's Sidekicks,Direct
79,Sir Nighteye,Flashback
79,Daikaku Miyagi,Flashback
80,Tamashiro,Direct
80,Katsuki Bakugo,Direct
80,Inasa Yoarashi,Direct
80,Shoto Todoroki,Direct
80,Camie Utsushimi,Direct
80,Sho,Direct
80,Takuto,Direct
80,Present Mic,Direct
80,Komari Ikoma,Direct
80,Yokumiru Mera,Direct
80,Seiji Shishikura,Direct
80,Gang Orca,Direct
80,All Might,Direct
80,Endeavor,Direct
80,Izuku Midoriya,Direct
80,Yo Shindo,Flashback
80,Ochaco Uraraka,Direct
80,Rikido Sato,Direct
80,Tenya Ida,Direct
80,Koji Koda,Direct
80,Tsuyu Asui,Direct
80,Mina Ashido,Direct
80,Eijiro Kirishima,Direct
80,Fumikage Tokoyami,Direct
80,Momo Yaoyorozu,Direct
80,Yuga Aoyama,Direct
80,Denki Kaminari,Direct
80,Hanta Sero,Direct
80,Mashirao Ojiro,Direct
80,Kyoka Jiro,Direct
80,Minoru Mineta,Direct
80,Mezo Shoji,Direct
80,Ectoplasm,Direct
80,Toru Hagakure,Direct
80,Eraser Head,Flashback
80,Nezu,Flashback
80,Nejire Hado,Flashback
80,Mirio Togata,Flashback
80,Tamaki Amajiki,Flashback
80,Sir Nighteye,Pictured
80,Ryukyu,Flashback
80,Fat Gum,Flashback
80,Centipeder,Flashback
80,Bubble Girl,Flashback
80,Eri,Direct
80,Lunch Rush,Mentioned
80,Midnight,Direct
80,Mt. Lady,Screen
80,Kamui Woods,Screen
80,Edgeshot,Screen
80,Cementoss,Direct
80,Kendo Rappa,Flashback
80,Overhaul,Flashback
81,Mina Ashido,Direct
81,Toru Hagakure,Direct
81,Hanta Sero,Direct
81,Denki Kaminari,Direct
81,Yuga Aoyama,Direct
81,Kyoka Jiro,Direct
81,Momo Yaoyorozu,Direct
81,Minoru Mineta,Direct
81,Izuku Midoriya,Direct
81,Mashirao Ojiro,Direct
81,Ochaco Uraraka,Direct
81,Koji Koda,Direct
81,Tsuyu Asui,Direct
81,Eraser Head,Direct
81,Tenya Ida,Direct
81,Eijiro Kirishima,Direct
81,Rikido Sato,Direct
81,Mezo Shoji,Direct
81,Fumikage Tokoyami,Direct
81,Shoto Todoroki,Direct
81,Katsuki Bakugo,Direct
81,Mei Hatsume,Pictured
81,Hitoshi Shinso,Pictured
81,Lunch Rush,Mentioned
81,Gentle Criminal,Direct
81,Eri,Direct
81,Mirio Togata,Direct
81,Sir Nighteye,Flashback
81,Overhaul,Flashback
81,Nezu,Mentioned
81,Kenji Tsuragamae,Direct
81,La Brava,Direct
82,All Might,Direct
82,Mirko,Silhouette
82,Best Jeanist,Silhouette
82,Edgeshot,Silhouette
82,Endeavor,Silhouette
82,Mr. Brave,Silhouette
82,All For One,Screen
82,Destro,Screen
82,Oji Harima,Screen
82,La Brava,Direct
82,Gentle Criminal,Direct
82,Stain,Flashback
82,League of Villains,Mentioned
82,Mashirao Ojiro,Direct
82,Izuku Midoriya,Direct
82,Eijiro Kirishima,Direct
82,Kyoka Jiro,Direct
82,Mina Ashido,Direct
82,Denki Kaminari,Direct
82,Mezo Shoji,Direct
82,Katsuki Bakugo,Direct
82,Tsutsutaka Agoyamato,Direct
82,Chikuchi Togeike,Direct
82,Tomura Shigaraki,Flashback
82,Kurogiri,Flashback
82,Thousand Eyes,Flashback
82,Stitched Giant,Flashback
82,Sickle Claw,Flashback
82,Eraser Head,Direct
82,Thirteen,Flashback
82,Shoto Todoroki,Direct
82,Tsuyu Asui,Direct
82,Tenya Ida,Direct
82,Momo Yaoyorozu,Direct
82,Ochaco Uraraka,Direct
82,Minoru Mineta,Direct
82,Rikido Sato,Direct
82,Hanta Sero,Direct
82,Fumikage Tokoyami,Direct
82,Toru Hagakure,Direct
82,Yuga Aoyama,Direct
82,Koji Koda,Direct
82,Muscular,Flashback
82,Mustard,Flashback
82,Moonfish,Flashback
82,Dabi,Flashback
82,Present Mic,Voice commentary
82,Overhaul,Flashback
82,Eri,Direct
82,Mirio Togata,Direct
83,Kyoka Jiro,Direct
83,Momo Yaoyorozu,Direct
83,Denki Kaminari,Direct
83,Fumikage Tokoyami,Direct
83,Katsuki Bakugo,Direct
83,Hanta Sero,Direct
83,Shoto Todoroki,Direct
83,Koji Koda,Direct
83,Eijiro Kirishima,Direct
83,Mina Ashido,Direct
83,Izuku Midoriya,Direct
83,Tenya Ida,Direct
83,Mezo Shoji,Direct
83,Mashirao Ojiro,Direct
83,Toru Hagakure,Direct
83,Tsuyu Asui,Direct
83,Mirio Togata,Direct
83,Ochaco Uraraka,Direct
83,Rikido Sato,Direct
83,Eri,Direct
83,Eraser Head,Direct
83,Nezu,Direct
83,Minoru Mineta,Direct
83,Tetsutetsu Tetsutetsu,Direct
83,Yosetsu Awase,Direct
83,Neito Monoma,Direct
83,Ryukyu,Flashback
83,Rikiya Katsukame,Flashback
83,Yui Kodai,Fantasy
83,Ibara Shiozaki,Fantasy
83,Setsuna Tokage,Fantasy
83,Nirengeki Shoda,Fantasy
83,Hiryu Rin,Fantasy
83,Jurota Shishida,Fantasy
83,Pony Tsunotori,Fantasy
83,Kojiro Bondo,Fantasy
83,Itsuka Kendo,Pictured
83,Nejire Hado,Direct
83,Yuyu Haya,Direct
83,Tamaki Amajiki,Direct
83,Bibimi Kenranzaki,Fantasy
83,Uwabami,Flashback
83,Mei Hatsume,Direct
83,Hitoshi Shinso,Direct
83,Midnight,Direct
83,Hound Dog,Direct
83,Yuga Aoyama,Direct
83,All Might,Direct
83,Endeavor,Screen
83,Gentle Criminal,Direct
83,La Brava,Direct
84,Hanta Sero,Direct
84,Eijiro Kirishima,Direct
84,Koji Koda,Direct
84,Mina Ashido,Direct
84,Toru Hagakure,Direct
84,Mashirao Ojiro,Direct
84,Izuku Midoriya,Direct
84,Tenya Ida,Direct
84,Minoru Mineta,Direct
84,Mezo Shoji,Direct
84,Yuga Aoyama,Direct
84,Momo Yaoyorozu,Direct
84,Kyoka Jiro,Direct
84,Katsuki Bakugo,Direct
84,Denki Kaminari,Direct
84,Fumikage Tokoyami,Direct
84,Ochaco Uraraka,Direct
84,Rikido Sato,Direct
84,Tsuyu Asui,Direct
84,Shoto Todoroki,Direct
84,Hound Dog,Direct
84,All Might,Direct
84,Mei Hatsume,Direct
84,Gentle Criminal,Direct
84,La Brava,Direct
84,Midnight,Flashback
84,Eri,Flashback
84,Eraser Head,Flashback
84,Tetsutetsu Tetsutetsu,Flashback
84,Neito Monoma,Flashback
84,Yosetsu Awase,Flashback
84,Nejire Hado,Flashback
84,Mirio Togata,Flashback
84,League of Villains,Mentioned
85,Itsuka Kendo,Direct
85,Reiko Yanagi,Direct
85,Neito Monoma,Direct
85,Tetsutetsu Tetsutetsu,Direct
85,Yosetsu Awase,Direct
85,Uwabami,Flashback
85,Momo Yaoyorozu,Flashback
85,Nejire Hado,Direct
85,Tamaki Amajiki,Direct
85,Yuyu Haya,Direct
85,Bibimi Kenranzaki,Direct
85,Mirio Togata,Direct
85,Eri,Direct
85,Eraser Head,Direct
85,Mei Hatsume,Direct
85,Power Loader,Direct
85,All Might,Direct
85,Midnight,Direct
85,Gentle Criminal,Direct
85,La Brava,Direct
85,Izuku Midoriya,Direct
85,Best Jeanist,Screen
85,Ingenium,Screen
85,Present Mic,Direct
85,Hound Dog,Direct
85,Takeshita,Flashback
85,Danjuro’s mother,Flashback
85,Danjuro’s father,Flashback
85,Inko Midoriya,Flashback
85,Sir Nighteye,Flashback
85,Ectoplasm,Clones
86,Gentle Criminal,Direct
86,La Brava,Direct
86,Ectoplasm,Direct
86,Hound Dog,Direct
86,Izuku Midoriya,Direct
86,Snipe,Direct
86,Eraser Head,Direct
86,Mirio Togata,Direct
86,Eri,Direct
86,Tenya Ida,Direct
86,Eijiro Kirishima,Direct
86,Hanta Sero,Direct
86,Toru Hagakure,Direct
86,Shoto Todoroki,Direct
86,Momo Yaoyorozu,Direct
86,Kyoka Jiro,Direct
86,Denki Kaminari,Direct
86,Katsuki Bakugo,Direct
86,Yuga Aoyama,Direct
86,Tsutsutaka Agoyamato,Direct
86,Chikuchi Togeike,Direct
86,All Might,Direct
86,Ochaco Uraraka,Direct
86,Minoru Mineta,Direct
86,Mashirao Ojiro,Direct
86,Mezo Shoji,Direct
86,Mina Ashido,Direct
86,Rikido Sato,Direct
86,Tsuyu Asui,Direct
86,Present Mic,Direct
86,Fumikage Tokoyami,Direct
86,Koji Koda,Direct
86,Kyotoku Jiro,Flashback
86,Mika Jiro,Flashback
86,Overhaul,Fantasy
86,Sir Nighteye,Mentioned
86,Tetsutetsu Tetsutetsu,Direct
86,Nirengeki Shoda,Direct
86,Neito Monoma,Direct
86,Yui Kodai,Direct
86,Yosetsu Awase,Direct
86,Itsuka Kendo,Direct
86,Bibimi Kenranzaki,Direct
86,Nejire Hado,Direct
86,Yuyu Haya,Direct
86,Tamaki Amajiki,Direct
86,Hitoshi Shinso,Direct
86,Mei Hatsume,Direct
86,Gori,Direct
87,Eri,Direct
87,Eraser Head,Direct
87,Tamaki Amajiki,Direct
87,Nejire Hado,Direct
87,Mirio Togata,Direct
87,Izuku Midoriya,Direct
87,Eijiro Kirishima,Direct
87,Ochaco Uraraka,Direct
87,Tsuyu Asui,Direct
87,Satsuki Asui,Mentioned
87,Fumikage Tokoyami,Direct
87,Mashirao Ojiro,Direct
87,Shoto Todoroki,Direct
87,Koji Koda,Direct
87,Hanta Sero,Direct
87,Kyoka Jiro,Direct
87,Katsuki Bakugo,Direct
87,Denki Kaminari,Direct
87,Mina Ashido,Direct
87,Minoru Mineta,Direct
87,Mezo Shoji,Direct
87,Momo Yaoyorozu,Direct
87,Tenya Ida,Direct
87,Mandalay,Direct
87,Ragdoll,Direct
87,Tiger,Direct
87,Pixie-Bob,Direct
87,Kota Izumi,Direct
87,Yuga Aoyama,Direct
87,Toru Hagakure,Direct
87,Rikido Sato,Direct
87,All For One,Flashback
87,Present Mic,Voice commentary
87,Ryukyu,Direct
87,Yoroi Musha,Direct
87,Wash,Direct
87,Kamui Woods,Direct
87,Mt. Lady,Direct
87,Death Arms,Direct
87,Crust,Direct
87,Mirko,Direct
87,Edgeshot,Direct
87,Hawks,Direct
87,Endeavor,Direct
87,Public Safety Commission President,Direct
87,Fat Gum,Direct
87,Rock Lock,Direct
87,Stain,Mentioned
87,All Might,Flashback
87,Dabi,Direct
87,Hood,Direct
87,Teruo Hazukashi,Direct
87,Hiroshi Tameda,Direct
87,Inasa Yoarashi,Mentioned
87,Nomu,Flashback
87,Best Jeanist,Flashback
87,Gang Orca,Flashback
87,X-Less,Flashback
87,Nomu (Hosu) (Flashback),Direct
87,Destro,Mentioned
88,Fuyumi Todoroki,Direct
88,Rei Todoroki,Direct
88,Natsuo Todoroki,Direct
88,Shoto Todoroki,Direct
88,Inasa Yoarashi,Flashback
88,Endeavor,Direct
88,Hood,Direct
88,Hawks,Direct
88,Toya Todoroki,Flashback
88,Izuku Midoriya,Direct
88,Fumikage Tokoyami,Direct
88,Momo Yaoyorozu,Direct
88,Denki Kaminari,Direct
88,Eijiro Kirishima,Direct
88,Tsuyu Asui,Direct
88,Ochaco Uraraka,Direct
88,Present Mic,Direct
88,Thirteen,Direct
88,All Might,Direct
88,Katsuki Bakugo,Direct
88,Hanta Sero,Direct
88,Eraser Head,Direct
88,Hiroshi Tameda,Direct
88,Nana Shimura,Vision
88,Fifth user,Vision
88,Sixth user,Vision
88,Fourth user,Vision
88,All For One,Vision
88,First user,Vision
89,Denki Kaminari,Direct
89,Eijiro Kirishima,Direct
89,Tsuyu Asui,Direct
89,Endeavor,Direct
89,High-End,Flashback
89,Hawks,Direct
89,Kyoka Jiro,Direct
89,Mashirao Ojiro,Direct
89,Toru Hagakure,Direct
89,Ochaco Uraraka,Direct
89,Izuku Midoriya,Direct
89,Shoto Todoroki,Direct
89,Tenya Ida,Direct
89,Minoru Mineta,Direct
89,Momo Yaoyorozu,Direct
89,Mezo Shoji,Direct
89,Eraser Head,Direct
89,Katsuki Bakugo,Direct
89,Hanta Sero,Direct
89,Fumikage Tokoyami,Direct
89,Rikido Sato,Direct
89,Yuga Aoyama,Direct
89,Mina Ashido,Direct
89,Koji Koda,Direct
89,Present Mic,Voice commentary
89,Mirio Togata,Direct
89,Nejire Hado,Direct
89,Tamaki Amajiki,Direct
89,All Might,Direct
89,Dabi,Direct
90,Endeavor,Direct
90,Dabi,Direct
90,Hawks,Direct
90,High-End,Corpse
90,Snatch,Flashback
90,Mirko,Direct
90,Ujiko,Mentioned
90,Tomura Shigaraki,Mentioned
90,Public Safety Commission President,Flashback
90,Gran Torino,Mentioned
90,Katsuki Bakugo,Mentioned
90,Fuyumi Todoroki,Direct
90,Shoto Todoroki,Direct
90,Natsuo Todoroki,Direct
90,Eraser Head,Direct
90,Nomu,Mentioned
90,Hiroshi Tameda,Screen
90,Edgeshot,Mentioned
90,All Might,Flashback
90,Rei Todoroki,Direct
90,Minoru Mineta,Direct
90,Izuku Midoriya,Direct
90,"Past One For All users
First user (Vision)
Fourth user (Vision)
Fifth user (Vision)
Sixth user (Vision)
Nana Shimura (Vision)",Direct
90,All For One,Vision
91,Izuku Midoriya,Direct
91,Yuga Aoyama,Direct
91,First user,Flashback
91,Nana Shimura,Flashback
91,Fourth user,Flashback
91,Sixth user,Flashback
91,Fifth user,Flashback
91,All Might,Direct
91,All For One,Flashback
91,Endeavor,Flashback
91,Rei Todoroki,Flashback
91,Fuyumi Todoroki,Flashback
91,Natsuo Todoroki,Flashback
91,Toya Todoroki,Flashback
91,Shoto Todoroki,Direct
91,Inko Midoriya,Mentioned
91,Eraser Head,Direct
91,Hitoshi Shinso,Direct
91,Toru Hagakure,Direct
91,Minoru Mineta,Direct
91,Mezo Shoji,Direct
91,Kyoka Jiro,Direct
91,Ochaco Uraraka,Direct
91,Tsuyu Asui,Direct
91,Mina Ashido,Direct
91,Mashirao Ojiro,Direct
91,Momo Yaoyorozu,Direct
91,Tenya Ida,Direct
91,Rikido Sato,Direct
91,Katsuki Bakugo,Direct
91,Denki Kaminari,Direct
91,Eijiro Kirishima,Direct
91,Mei Hatsume,Flashback
91,Fumikage Tokoyami,Direct
91,Koji Koda,Direct
91,Hanta Sero,Direct
91,Neito Monoma,Direct
91,Yosetsu Awase,Direct
91,Sen Kaibara,Direct
91,Kosei Tsuburaba,Direct
91,Nirengeki Shoda,Direct
91,Juzo Honenuki,Direct
91,Hiryu Rin,Direct
91,Togaru Kamakiri,Direct
91,Setsuna Tokage,Direct
91,Jurota Shishida,Direct
91,Manga Fukidashi,Direct
91,Kinoko Komori,Direct
91,Yui Kodai,Direct
91,Kojiro Bondo,Direct
91,Tetsutetsu Tetsutetsu,Direct
91,Shihai Kuroiro,Direct
91,Itsuka Kendo,Direct
91,Ibara Shiozaki,Direct
91,Pony Tsunotori,Direct
91,Reiko Yanagi,Direct
91,Present Mic,Voice commentary
91,Vlad King,Direct
91,Nezu,Painted image
91,Midnight,Direct
92,Hitoshi Shinso,Direct
92,Tsuyu Asui,Direct
92,Denki Kaminari,Direct
92,Eijiro Kirishima,Direct
92,Koji Koda,Direct
92,Nezu,Painted image
92,Izuku Midoriya,Direct
92,Midnight,Direct
92,Jurota Shishida,Direct
92,Kosei Tsuburaba,Direct
92,Sen Kaibara,Direct
92,Reiko Yanagi,Direct
92,Yosetsu Awase,Direct
92,Kojiro Bondo,Direct
92,Nirengeki Shoda,Direct
92,Juzo Honenuki,Direct
92,Yui Kodai,Direct
92,Togaru Kamakiri,Direct
92,Shihai Kuroiro,Direct
92,Setsuna Tokage,Direct
92,Itsuka Kendo,Direct
92,Kinoko Komori,Direct
92,Manga Fukidashi,Direct
92,Pony Tsunotori,Direct
92,Hanta Sero,Direct
92,Tetsutetsu Tetsutetsu,Direct
92,Neito Monoma,Direct
92,Mezo Shoji,Direct
92,Rikido Sato,Direct
92,Katsuki Bakugo,Direct
92,Fumikage Tokoyami,Direct
92,Mashirao Ojiro,Direct
92,Mina Ashido,Direct
92,Shoto Todoroki,Direct
92,All Might,Direct
92,Kyoka Jiro,Direct
92,Yuga Aoyama,Direct
92,Momo Yaoyorozu,Direct
92,Tenya Ida,Direct
92,Eraser Head,Direct
92,Ochaco Uraraka,Direct
92,Vlad King,Direct
92,Minoru Mineta,Direct
92,Present Mic,Voice commentary
92,Ibara Shiozaki,Direct
92,Hiryu Rin,Direct
92,Toru Hagakure,Direct
92,Ectoplasm,Mentioned
92,Hanzo Suiden,Flashback
92,Sharkyonara,Flashback
92,Mei Hatsume,Fantasy
93,Eraser Head,Direct
93,Mina Ashido,Direct
93,Fumikage Tokoyami,Direct
93,Rikido Sato,Direct
93,Eijiro Kirishima,Direct
93,Jurota Shishida,Direct
93,Ibara Shiozaki,Direct
93,Koji Koda,Direct
93,Denki Kaminari,Direct
93,Tsuyu Asui,Direct
93,Hitoshi Shinso,Direct
93,Kosei Tsuburaba,Direct
93,Hiryu Rin,Direct
93,Vlad King,Direct
93,Setsuna Tokage,Direct
93,Manga Fukidashi,Direct
93,Toru Hagakure,Direct
93,Yuga Aoyama,Direct
93,Tenya Ida,Direct
93,Ochaco Uraraka,Direct
93,Shoto Todoroki,Direct
93,Hanta Sero,Direct
93,Kinoko Komori,Direct
93,Sen Kaibara,Direct
93,Nirengeki Shoda,Direct
93,Fat Gum,Flashback
93,Kendo Rappa,Flashback
93,Ryukyu,Flashback
93,Rikiya Katsukame,Flashback
93,Izuku Midoriya,Direct
93,Sir Nighteye,Flashback
93,Momo Yaoyorozu,Direct
93,Mashirao Ojiro,Direct
93,Kyoka Jiro,Direct
93,Mezo Shoji,Direct
93,Midnight,Direct
93,All Might,Direct
93,Pony Tsunotori,Direct
93,Neito Monoma,Direct
93,Minoru Mineta,Direct
93,Katsuki Bakugo,Direct
93,Yosetsu Awase,Direct
93,Shihai Kuroiro,Direct
93,Gentle Criminal,Flashback
93,Yo Shindo,Flashback
93,Overhaul,Flashback
93,Eri,Flashback
93,Mirio Togata,Flashback
93,Juzo Honenuki,Direct
93,Tetsutetsu Tetsutetsu,Direct
93,Reiko Yanagi,Direct
93,Yui Kodai,Direct
93,Kojiro Bondo,Direct
93,Togaru Kamakiri,Direct
93,Itsuka Kendo,Direct
93,Uwabami,Flashback
93,Mustard,Flashback
93,Present Mic,Voice commentary
93,Hawks,Flashback
93,Tomura Shigaraki,Flashback
93,Kurogiri,Flashback
93,Stitched Giant,Flashback
93,Nomu,Flashback
93,Mei Hatsume,Flashback
94,Momo Yaoyorozu,Direct
94,Toru Hagakure,Direct
94,Fumikage Tokoyami,Direct
94,Yuga Aoyama,Direct
94,Kinoko Komori,Direct
94,Present Mic,Voice commentary
94,Minoru Mineta,Direct
94,Yosetsu Awase,Direct
94,Kyoka Jiro,Direct
94,Ochaco Uraraka,Direct
94,Shihai Kuroiro,Direct
94,Itsuka Kendo,Direct
94,Nezu,Painted image
94,Manga Fukidashi,Direct
94,Vlad King,Direct
94,Mina Ashido,Direct
94,Shoto Todoroki,Direct
94,Rikido Sato,Direct
94,Hanta Sero,Direct
94,Izuku Midoriya,Direct
94,Tetsutetsu Tetsutetsu,Direct
94,Mashirao Ojiro,Direct
94,Eraser Head,Flashback
94,Sen Kaibara,Direct
94,Hawks,Mentioned
94,Neito Monoma,Direct
94,Midnight,Direct
94,All Might,Direct
95,Kinoko Komori,Direct
95,Fumikage Tokoyami,Direct
95,Momo Yaoyorozu,Direct
95,Itsuka Kendo,Direct
95,Toru Hagakure,Direct
95,Yuga Aoyama,Direct
95,Manga Fukidashi,Direct
95,Shihai Kuroiro,Direct
95,Nezu,Painted image
95,Eraser Head,Direct
95,Hitoshi Shinso,Direct
95,Jurota Shishida,Direct
95,Vlad King,Direct
95,Neito Monoma,Direct
95,Minoru Mineta,Direct
95,Izuku Midoriya,Direct
95,Ochaco Uraraka,Direct
95,Mina Ashido,Direct
95,Sen Kaibara,Direct
95,Setsuna Tokage,Direct
95,Reiko Yanagi,Direct
95,Mashirao Ojiro,Direct
95,Tetsutetsu Tetsutetsu,Direct
95,Denki Kaminari,Direct
95,Eijiro Kirishima,Direct
95,Yui Kodai,Direct
95,Ibara Shiozaki,Direct
95,Kosei Tsuburaba,Direct
95,Nirengeki Shoda,Direct
95,Togaru Kamakiri,Direct
95,Tenya Ida,Direct
95,Pony Tsunotori,Direct
95,Juzo Honenuki,Direct
95,Yosetsu Awase,Direct
95,All Might,Direct
95,Gran Torino,Mentioned
95,Nana Shimura,Flashback
95,Sixth user,Flashback
95,Fifth user,Flashback
95,Fourth user,Flashback
95,First user,Flashback
95,Katsuki Bakugo,Direct
95,Recovery Girl,Direct
95,Mezo Shoji,Direct
95,Shoto Todoroki,Direct
95,Koji Koda,Direct
95,Hawks,Mentioned
95,Endeavor,Direct
95,High-End,Flashback
95,Toya Todoroki,Mentioned
95,Rei Todoroki,Mentioned
95,Tensei Ida,Flashback
95,Present Mic,Voice commentary
95,Kido,Direct
95,Onima,Direct
95,Fuyumi Todoroki,Mentioned
95,Rikido Sato,Direct
95,Hanta Sero,Direct
95,Hiryu Rin,Direct
96,Tenya Ida,Direct
96,Juzo Honenuki,Direct
96,Jurota Shishida,Direct
96,Reiko Yanagi,Direct
96,Yosetsu Awase,Direct
96,Hiryu Rin,Direct
96,Kosei Tsuburaba,Direct
96,Kojiro Bondo,Direct
96,Nirengeki Shoda,Direct
96,Ibara Shiozaki,Direct
96,Yui Kodai,Direct
96,Togaru Kamakiri,Direct
96,Shihai Kuroiro,Direct
96,Setsuna Tokage,Direct
96,Itsuka Kendo,Direct
96,Hitoshi Shinso,Direct
96,Kinoko Komori,Direct
96,Manga Fukidashi,Direct
96,Denki Kaminari,Direct
96,Eijiro Kirishima,Direct
96,Neito Monoma,Direct
96,Rikido Sato,Direct
96,Katsuki Bakugo,Direct
96,Fumikage Tokoyami,Direct
96,Koji Koda,Direct
96,Hanta Sero,Direct
96,Tsuyu Asui,Direct
96,Mina Ashido,Direct
96,Kyoka Jiro,Direct
96,Yuga Aoyama,Direct
96,Momo Yaoyorozu,Direct
96,Ochaco Uraraka,Direct
96,Izuku Midoriya,Direct
96,Minoru Mineta,Direct
96,All Might,Direct
96,Midnight,Direct
96,Shota Aizawa,Direct
96,Vlad King,Direct
96,Gran Torino,Mentioned
96,Mashirao Ojiro,Direct
96,Sen Kaibara,Direct
96,Nezu,Painted image
96,Tetsutetsu Tetsutetsu,Direct
96,Shoto Todoroki,Direct
96,Pony Tsunotori,Direct
96,Mezo Shoji,Direct
96,Endeavor,Flashback
96,Native,Flashback
96,Stain,Flashback
96,Toru Hagakure,Flashback
96,Recovery Girl,Direct
96,Rei Todoroki,Flashback
96,Tensei Ida,Flashback
97,Kyoka Jiro,Direct
97,Hanta Sero,Direct
97,Kojiro Bondo,Direct
97,Yosetsu Awase,Direct
97,Rikido Sato,Direct
97,Katsuki Bakugo,Direct
97,Togaru Kamakiri,Direct
97,Setsuna Tokage,Direct
97,Vlad King,Direct
97,Denki Kaminari,Direct
97,Yuga Aoyama,Direct
